15, 89
18, 89
17, 85
16, 79
20, 76
13, 72
14, 70
22, 67
19, 66
23, 66
21, 62
26, 61
29, 61
24, 59
25, 59
28, 59
12, 58
11, 57
30, 56
27, 55
31, 48
33, 47
10, 45
32, 43
37, 42
35, 40
34, 38
36, 34
9, 30
39, 30
42, 27
38, 23
40, 22
8, 20
43, 20
41, 17
44, 13
46, 13
7, 12
50, 12
45, 11
49, 11
47, 9
57, 8
58, 8
5, 7
52, 7
6, 6
48, 6
53, 6
56, 6
63, 6
55, 5
103, 5
54, 4
62, 4
68, 4
70, 4
76, 4
78, 4
88, 4
1, 3
4, 3
59, 3
67, 3
72, 3
73, 3
86, 3
87, 3
100, 3
101, 3
3, 2
51, 2
60, 2
61, 2
64, 2
83, 2
85, 2
98, 2
2, 1
66, 1
69, 1
71, 1
79, 1
80, 1
81, 1
84, 1
89, 1
91, 1
96, 1
97, 1
106, 1
113, 1
130, 1
140, 1
